Scenario - test												
Logfile written - 11/09/2022 15:26:11												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
18	52	Picture	2-121-1-2	7822215	130318	7	5166	7	130000	5000	hit	408
18	52	Response	62	7835623	143726	1						
18	53	Sound	P1/tapping1	7867712	24999	1			25000		other	0
18	53	Response	53	7871704	28991	2						
18	53	Response	53	7877063	34351	3						
18	53	Response	53	7882184	39471	1						
18	53	Response	53	7887303	44590	1						
18	53	Response	53	7892424	49711	1						
18	53	Response	53	7898104	55391	1						
18	53	Response	53	7902984	60271	1						
18	53	Response	53	7907943	65230	1						
18	53	Response	53	7912743	70031	1						
18	53	Sound	f02	7914213	71500	1			71500		other	0
18	53	Picture	2-122-1-2	7973030	130318	7	5166	7	130000	5000	hit	421
18	53	Response	62	7986743	144031	1						
18	54	Sound	P1/tapping	8018528	25000	1			25000		other	0
18	54	Response	53	8021063	27535	2						
18	54	Response	53	8025623	32095	1						
18	54	Response	53	8030663	37135	2						
18	54	Response	53	8035865	42336	1						
18	54	Response	53	8040983	47455	1						
18	54	Response	53	8045943	52415	1						
18	54	Response	53	8050823	57295	1						
18	54	Response	53	8055783	62255	1						
18	54	Response	53	8060583	67055	1						
18	54	Sound	test15	8065028	71500	1			71500		other	0
18	54	Picture	3-222-1-3	8123846	130318	7	5166	7	130000	5000	hit	434
18	54	Response	62	8137783	144255	1						
18	55	Sound	P1/tapping	8169343	25000	1			25000		other	0
18	55	Response	53	8171943	27600	1						
18	55	Response	53	8176903	32560	1						
18	55	Response	53	8182743	38400	1						
18	55	Response	53	8188263	43920	1						
18	55	Response	53	8193783	49440	1						
18	55	Response	53	8199063	54720	2						
18	55	Response	53	8204103	59760	1						
18	55	Response	53	8209783	65440	1						
18	55	Response	53	8214663	70320	3						
18	55	Sound	test11	8215843	71500	1			71500		other	0
18	55	Picture	2-212-1-2	8274661	130318	7	5166	7	130000	5000	hit	447
18	55	Response	61	8292103	147760	1						
18	56	Sound	P1/tapping	8320158	25000	1			25000		other	0
18	56	Response	53	8324743	29585	2						
18	56	Response	53	8330423	35265	1						
18	56	Response	53	8335703	40545	1						
18	56	Response	53	8342423	47264	1						
18	56	Response	53	8347543	52384	2						
18	56	Response	53	8352343	57184	2						
18	56	Response	53	8358103	62944	1						
18	56	Response	53	8363303	68144	1						
18	56	Sound	n06	8366658	71500	1			71500		other	0
18	56	Picture	3-222-1-3	8425476	130318	7	5166	7	130000	5000	incorrect	459
18	56	Response	51	8441143	145984	2						
18	57	Sound	P2/both1	8470974	25000	1			25000		other	0
18	57	Response	53	8477223	31249	1						
18	57	Response	53	8482503	36529	1						
18	57	Response	53	8488183	42209	1						
18	57	Response	53	8493783	47809	1						
18	57	Response	53	8499783	53809	2						
18	57	Response	53	8505864	59890	2						
18	57	Response	53	8511703	65729	2						
18	57	Sound	n11	8517474	71500	1			71500		other	0
18	57	Response	53	8517703	71729	2						
18	57	Picture	2-124-1-2	8576291	130318	7	5166	7	130000	5000	incorrect	471
18	57	Response	51	8589943	143969	1						
18	58	Sound	P2/both	8621789	25000	1			25000		other	0
18	58	Response	53	8623463	26674	1						
18	58	Response	53	8628023	31234	1						
18	58	Response	53	8633943	37154	1						
18	58	Response	53	8639623	42834	1						
18	58	Response	53	8645303	48514	1						
18	58	Response	53	8650663	53874	1						
18	58	Response	53	8656983	60194	1						
18	58	Response	53	8662903	66114	1						
18	58	Sound	n14	8668289	71500	1			71500		other	0
18	58	Picture	3-124-1-3	8727107	130318	7	5166	7	130000	5000	incorrect	483
18	58	Response	51	8738183	141394	1						
18	59	Sound	P2/both	8772604	25000	1			25000		other	0
18	59	Response	53	8774103	26499	2						
18	59	Response	53	8778743	31139	2						
18	59	Response	53	8784743	37139	1						
18	59	Response	53	8790343	42738	1						
18	59	Response	53	8796503	48898	1						
18	59	Response	53	8801783	54179	1						
18	59	Response	53	8807783	60178	1						
18	59	Response	53	8814103	66499	1						
